# k2;k3;k4;k5;k6;k7;e;Vol;T
1.203743e+00;1.175100e-01;1.183885e+00;4.737653e-03;5.740146e-02;1.478413e+01;8.397714e-01;1.095464e-01;1.992820e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-dc-ca-sample-138.mat
1.669107e+00;1.130886e-01;1.463382e+00;5.125455e-03;6.205913e-02;1.156530e+01;8.413982e-01;1.374082e-01;1.569709e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-dc-ca-sample-0.mat
1.587672e+00;1.155572e-01;1.389237e+00;4.746030e-03;6.039778e-02;1.178141e+01;8.450707e-01;1.054604e-01;1.822907e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-dc-ca-sample-163.mat
1.474687e+00;9.598718e-02;1.273562e+00;4.596123e-03;5.465861e-02;1.141655e+01;8.484025e-01;1.172718e-01;1.421644e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-dc-ca-sample-112.mat
1.193851e+00;1.331058e-01;1.312224e+00;6.039842e-03;5.790048e-02;1.550716e+01;8.535125e-01;9.132048e-02;2.022262e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-dc-ca-sample-123.mat
1.677529e+00;1.062205e-01;1.453949e+00;4.729237e-03;6.148588e-02;1.120141e+01;8.606302e-01;1.175520e-01;1.341674e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-dc-ca-sample-107.mat
1.694657e+00;9.049965e-02;1.314137e+00;4.620102e-03;5.492967e-02;1.011893e+01;8.622178e-01;1.231402e-01;1.711576e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-dc-ca-sample-125.mat
1.363575e+00;1.283508e-01;1.416713e+00;5.296356e-03;6.210186e-02;1.373396e+01;8.654452e-01;1.480655e-01;1.907418e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-dc-ca-sample-135.mat
1.602899e+00;1.269536e-01;1.532947e+00;5.847924e-03;6.255160e-02;1.224033e+01;8.713207e-01;1.760362e-01;1.854780e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-dc-ca-sample-170.mat
1.746865e+00;1.011657e-01;1.466581e+00;4.649560e-03;6.145593e-02;1.070522e+01;8.734565e-01;1.093814e-01;1.466888e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-dc-ca-sample-185.mat
1.291500e+00;1.202948e-01;1.306983e+00;4.363587e-03;5.830359e-02;1.369823e+01;8.847223e-01;1.466669e-01;1.818411e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-dc-ca-sample-129.mat
1.354294e+00;1.038962e-01;1.183539e+00;3.449167e-03;5.774706e-02;1.310839e+01;8.859275e-01;1.211800e-01;1.811552e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-dc-ca-sample-145.mat
1.236719e+00;9.373107e-02;1.140326e+00;4.325794e-03;5.044029e-02;1.261385e+01;8.862850e-01;9.838997e-02;1.369194e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-dc-ca-sample-146.mat
1.293326e+00;1.064958e-01;1.170848e+00;3.837504e-03;5.424063e-02;1.285565e+01;8.891326e-01;1.573152e-01;1.889656e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-dc-ca-sample-167.mat
1.182695e+00;1.435162e-01;1.299295e+00;5.803277e-03;6.287923e-02;1.664574e+01;8.920232e-01;1.238024e-01;2.094093e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-dc-ca-sample-200.mat
1.545712e+00;1.140720e-01;1.332542e+00;3.372827e-03;6.222079e-02;1.220977e+01;9.036463e-01;9.839223e-02;1.876722e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-dc-ca-sample-183.mat
1.291699e+00;1.338851e-01;1.342201e+00;4.501570e-03;6.125812e-02;1.463698e+01;9.127321e-01;1.097201e-01;1.763984e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-dc-ca-sample-134.mat
1.353091e+00;9.464067e-02;1.209345e+00;3.819746e-03;5.192674e-02;1.161938e+01;9.149056e-01;8.714575e-02;2.055693e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-dc-ca-sample-182.mat
