# k2;k3;k4;k5;k6;k7;e;Vol;T
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-cmaes-ca-sample-153.mat
2.564378e+00;6.580282e-02;7.626692e-01;1.805532e-02;9.318789e-02;1.228964e+01;9.530697e-01;NaN;5.731149e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-cmaes-ca-sample-176.mat
1.059422e+00;1.262105e-01;1.469473e+00;6.296930e-03;4.581874e-02;1.412380e+01;9.842445e-01;NaN;7.052359e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-cmaes-ca-sample-190.mat
2.573883e+00;6.725328e-02;1.673846e+00;1.035938e-02;5.766993e-02;7.077307e+00;1.035217e+00;NaN;1.911179e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-cmaes-ca-sample-139.mat
1.166377e+00;1.427574e-01;8.517605e-01;5.388785e-03;9.471006e-02;2.531305e+01;1.044311e+00;NaN;9.901402e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-cmaes-ca-sample-103.mat
3.431265e+00;4.186094e-02;9.746270e-01;9.624595e-03;7.322935e-02;6.658164e+00;1.059661e+00;NaN;6.027699e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-cmaes-ca-sample-199.mat
1.104952e+00;9.294646e-02;1.734447e-01;9.469230e-03;6.728246e-02;9.208336e+00;1.082418e+00;NaN;9.094829e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-cmaes-ca-sample-157.mat
1.938767e+00;1.670408e-01;1.070468e+00;4.674570e-03;1.435361e-01;2.269746e+01;1.093977e+00;NaN;9.300881e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-cmaes-ca-sample-116.mat
2.358777e+00;5.439538e-02;1.098088e+00;1.861958e-03;6.035181e-02;7.848922e+00;1.131167e+00;NaN;7.793594e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-cmaes-ca-sample-183.mat
3.824091e+00;5.178909e-02;9.274528e-01;5.883303e-03;9.358865e-02;8.179099e+00;1.136699e+00;NaN;7.865733e+03
