# k1;k2;k3;k4;k5;k6;e;Vol;T
2.279313e+00;4.732929e+00;1.539726e+02;8.825192e-01;3.282972e+00;1.019357e+01;2.356095e+00;5.577628e-09;1.879067e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-109.mat
2.676360e+00;4.388346e+00;2.936461e+02;4.743932e-01;2.349115e+00;1.188662e+01;2.434580e+00;1.574880e-08;1.813265e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-33.mat
4.519554e+00;4.344976e+00;2.605930e+02;6.236679e-01;2.103816e+00;1.997710e+01;2.441182e+00;9.354725e-07;2.268802e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-85.mat
2.596139e+00;4.659068e+00;1.967943e+02;2.614555e-01;3.168817e+00;1.162688e+01;2.502681e+00;7.806847e-09;1.856504e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-114.mat
3.966309e+00;4.638628e+00;1.311386e+02;2.062622e-01;3.188483e+00;1.770655e+01;2.591854e+00;1.226606e-07;3.069096e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-120.mat
2.564261e+00;4.689405e+00;1.620683e+02;3.369060e-01;3.427944e+00;1.132778e+01;2.605129e+00;1.067705e-09;1.747802e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-88.mat
3.920978e+00;4.508156e+00;2.598125e+02;4.707569e-01;2.711315e+00;1.753405e+01;2.626404e+00;4.712597e-07;2.045136e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-74.mat
3.412506e+00;4.247928e+00;3.441879e+02;5.102548e-01;1.776435e+00;1.510582e+01;2.708682e+00;6.706168e-08;1.747069e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-83.mat
2.762682e+00;4.523143e+00;3.196420e+02;2.414633e-01;2.501865e+00;1.245013e+01;2.790034e+00;1.174572e-07;1.876609e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-40.mat
3.626284e+00;4.565890e+00;2.854274e+02;3.143688e-01;2.810416e+00;1.627277e+01;2.823769e+00;8.004071e-09;1.861961e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-69.mat
3.735221e+00;4.375914e+00;3.380862e+02;6.838049e-01;2.264580e+00;1.644485e+01;2.868374e+00;1.017324e-06;2.207767e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-51.mat
4.251282e+00;4.596165e+00;3.023231e+02;6.370485e-01;2.632707e+00;1.928604e+01;2.926873e+00;7.963832e-07;2.016894e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-102.mat
3.732273e+00;4.761809e+00;1.926333e+02;1.622571e+00;3.548857e+00;1.663054e+01;2.941475e+00;1.593815e-09;2.007077e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-71.mat
2.194597e+00;4.710253e+00;2.777321e+02;6.637350e-01;3.335472e+00;9.778781e+00;2.959560e+00;5.389380e-09;1.665164e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-44.mat
2.705243e+00;4.712887e+00;2.784121e+02;1.978806e-01;3.248376e+00;1.200589e+01;2.999102e+00;4.023557e-09;1.700475e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-62.mat
2.752886e+00;4.279035e+00;3.751081e+02;2.948976e-01;1.914710e+00;1.225360e+01;3.001320e+00;5.847572e-08;1.622697e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-123.mat
2.702442e+00;4.610846e+00;3.182912e+02;4.992391e-01;3.010553e+00;1.199380e+01;3.026829e+00;1.642153e-08;1.989891e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-72.mat
3.364689e+00;4.749422e+00;2.190770e+02;2.172244e+00;3.434573e+00;1.503497e+01;3.041921e+00;3.407823e-09;1.771792e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-66.mat
4.761296e+00;4.690293e+00;1.623375e+02;1.697200e+00;3.454206e+00;2.086828e+01;3.058519e+00;1.010293e-07;2.260908e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-93.mat
2.967687e+00;4.609851e+00;3.059061e+02;1.855076e-01;3.152599e+00;1.303246e+01;3.123101e+00;4.096003e-08;1.875078e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-67.mat
3.412695e+00;4.612639e+00;3.162829e+02;1.916120e-01;2.968020e+00;1.523363e+01;3.125512e+00;1.091297e-07;1.769757e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-77.mat
4.434304e+00;4.597644e+00;3.189458e+02;2.100841e-01;2.863082e+00;1.991502e+01;3.291902e+00;1.211202e-07;2.317370e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-61.mat
3.385413e+00;4.748596e+00;3.283978e+02;2.166687e-01;3.199054e+00;1.540369e+01;3.353756e+00;4.319892e-08;2.095194e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-45.mat
1.599335e+00;4.736947e+00;3.268607e+02;4.044877e-01;3.393106e+00;7.173264e+00;3.380184e+00;1.177107e-10;1.369978e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-118.mat
4.207984e+00;4.863797e+00;1.998313e+02;2.438751e-01;3.891708e+00;1.881106e+01;3.392726e+00;9.882641e-08;2.383436e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-78.mat
5.378350e+00;4.656747e+00;2.601651e+02;2.897304e-01;3.132320e+00;2.410324e+01;3.400835e+00;1.197847e-07;2.596791e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-103.mat
2.928887e+00;4.536498e+00;3.987704e+02;4.927823e-01;2.629625e+00;1.320815e+01;3.471494e+00;4.569782e-09;2.090068e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-47.mat
1.676633e+00;4.621330e+00;4.018633e+02;3.481906e-01;2.934446e+00;7.515143e+00;3.664682e+00;1.274938e-08;1.541258e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-112.mat
2.395455e+00;4.795686e+00;3.451054e+02;4.844120e-01;3.756688e+00;1.058043e+01;3.730944e+00;6.701779e-08;2.166188e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-43.mat
3.225378e+00;4.642697e+00;3.961577e+02;3.009013e-01;3.064347e+00;1.444470e+01;3.732627e+00;3.414532e-08;1.842248e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-84.mat
