# Corr coeff CMAES (n = 30, top 5 considered): (R_A, T) = -0.273773, t = 1.506218 > 1.701131, p = 0.143211 (t < t_c => R == 0)
# Corr coeff CMAES (n = 30, top 10 considered): (R_A, T) = -0.603948, t = 4.009661 > 1.701131, p = 0.000409 (t < t_c => R == 0)
# Corr coeff CMAES (n = 30, top 15 considered): (R_A, T) = -0.370478, t = 2.110573 > 1.701131, p = 0.043870 (t < t_c => R == 0)
# Corr coeff CMAES (n = 30, top 20 considered): (R_A, T) = -0.179746, t = 0.966877 > 1.701131, p = 0.341883 (t < t_c => R == 0)
# Corr coeff CMAES (n = 30, top 25 considered): (R_A, T) = -0.326462, t = 1.827607 > 1.701131, p = 0.078284 (t < t_c => R == 0)
# Corr coeff CMAES (n = 30, top 30 considered): (R_A, T) = 0.066774, t = 0.354125 > 1.701131, p = 0.725898 (t < t_c => R == 0)
# Corr coeff CMAES (n = 30, top 30 considered): (R_A, T) = 0.066774, t = 0.354125 > 1.701131, p = 0.725898 (t < t_c => R == 0)
# Corr coeff CMAES (n = 30, top 30 considered): (R_A, T) = 0.066774, t = 0.354125 > 1.701131, p = 0.725898 (t < t_c => R == 0)
# k1;k2;k3;k4;k5;k6;R_A;Vol;T
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/b//data//Ostrenko2019-pe-cmaes-tcs-sample-146.mat
8.953931e-02;1.063661e+01;4.886345e-01;9.939024e-02;2.733005e+00;3.548827e+00;9.096568e-01;NaN;3.790520e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/b//data//Ostrenko2019-pe-cmaes-tcs-sample-142.mat
9.501934e-02;9.637475e+00;1.160694e-01;1.059741e-01;9.731623e-01;1.102095e+01;8.622558e-01;NaN;2.837119e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/b//data//Ostrenko2019-pe-cmaes-tcs-sample-139.mat
3.539059e-01;7.768956e+00;9.327850e-01;8.719802e-01;4.865403e+00;6.149492e+00;8.360533e-01;NaN;3.024343e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/b//data//Ostrenko2019-pe-cmaes-tcs-sample-127.mat
9.002414e-02;6.383326e+00;4.892307e+00;1.096153e-01;2.828016e+00;3.162966e+00;8.296001e-01;NaN;1.412255e+05
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/b//data//Ostrenko2019-pe-cmaes-tcs-sample-134.mat
8.705422e-02;9.711258e+00;6.116745e-01;1.048973e-01;9.519429e-01;1.076228e+01;7.757344e-01;NaN;3.012236e+05
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/b//data//Ostrenko2019-pe-cmaes-tcs-sample-130.mat
8.738306e-02;9.785230e+00;1.626613e-01;1.052156e-01;9.697509e-01;1.106195e+01;7.570384e-01;NaN;7.850875e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/b//data//Ostrenko2019-pe-cmaes-tcs-sample-141.mat
9.816035e-02;9.527480e+00;8.112937e-01;5.109991e-01;1.008963e+00;1.051323e+01;6.881594e-01;NaN;2.860032e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/b//data//Ostrenko2019-pe-cmaes-tcs-sample-143.mat
3.585235e+00;1.424055e+00;9.246855e+00;8.673194e+00;1.036632e-01;4.282531e+00;5.119511e-01;NaN;3.823866e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/b//data//Ostrenko2019-pe-cmaes-tcs-sample-138.mat
4.954844e-01;1.529328e-01;2.398744e+00;9.030040e+00;4.285390e+00;1.622448e-01;2.340691e-01;NaN;5.307408e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/b//data//Ostrenko2019-pe-cmaes-tcs-sample-120.mat
7.036411e-02;7.871304e+00;4.357596e-01;1.207535e-01;9.503875e-01;1.237393e+01;1.415483e-01;NaN;6.343996e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/b//data//Ostrenko2019-pe-cmaes-tcs-sample-149.mat
5.966575e-02;8.068855e+00;1.786974e-01;3.802142e-01;9.548520e-01;1.291351e+01;-3.649062e-01;NaN;3.183029e+04
